patient_id;gender;birth_date;deceased_date;family_name;given_name;nir;code_geo;latitude;longitude;multiple_birth
73ed8b6d-e761-4f71-b69d-475a1be9f487;female;21/09/1985;;Dupont;Marie;2,85094E+14;75001;48.8566;2.3522;1
73285bbe-d64d-44b9-8cb6-864a376384c4;male;05/04/1970;;Martin;Pierre;1,70045E+14;92000;48.8738;2.295;1
e569cdc5-6024-42bf-8e0f-7565583066b0;female;03/12/1994;;Leroy;Sophie;2,94124E+14;75004;48.8467;2.3431;2
05584e1b-3435-415a-af33-aad1fca40fad;male;15/08/1976;2023-11-07T09:32:00.000Z;Moreau;Jean;1,76085E+14;75016;48.8584;2.2945;1
ee82429a-e183-409e-bcf6-d01fb7a4d2e3;female;04/07/1945;;Simon;Camille;2,03075E+14;75018;48.8798;2.3474;1
95ad2759-7eed-4146-8088-b74cc5ce847c;male;05/09/1965;;Petit;Nicolas;1,65095E+14;75013;48.8322;2.3597;1
00c2b477-4649-46af-aa82-2337558a1ec8;female;13/11/1985;;Garcia;Elena;2,85113E+14;75009;48.8867;2.3431;1
00d05edd-cffc-46e0-8ddb-91b7e801985a;male;06/02/1992;;Roux;Antoine;1,92027E+14;75011;48.8427;2.373;1
2d7c21fd-859a-493b-b20a-1a27237ea5ba;female;06/05/1978;;Blanc;Isabelle;2,78056E+14;75015;48.8499;2.2943;
21f4ee98-4940-4d54-b573-523bc7718a6d;male;07/12/1989;;David;Thomas;1,89128E+14;75006;48.8606;2.3376;
